dist_id,customer_city,seller_city,time_to_deliver,seller_id
1,Los Angeles,Albany,79,1
2,Los Angeles,Amsterdam,79,2
3,Los Angeles,Auburn,79,3
4,Los Angeles,Batavia,79,4
5,Los Angeles,Beacon,79,5
6,Los Angeles,Binghamton,79,6
7,Los Angeles,Buffalo,79,7
8,Los Angeles,Canandaigua,79,8
9,Los Angeles,Cohoes,79,9
10,Los Angeles,Corning,79,10
11,Los Angeles,Cortland,79,11
12,Los Angeles,Dunkirk,79,12
13,Los Angeles,Elmira,79,13
14,Los Angeles,Fulton,79,14
15,Los Angeles,Geneva,79,15
16,Los Angeles,Glen Cove,79,16
17,Los Angeles,Glens Falls,79,17
18,Los Angeles,Gloversville,79,18
19,Los Angeles,Hornell,79,19
20,Los Angeles,Hudson,79,20
21,Los Angeles,Ithaca,79,21
22,Los Angeles,Jamestown,79,22
23,Los Angeles,Johnstown,79,23
24,Los Angeles,Kingston,79,24
25,Los Angeles,Lackawanna,79,25
26,Los Angeles,Little Falls,79,26
27,Los Angeles,Lockport,79,27
28,Los Angeles,Long Beach,79,28
29,Los Angeles,Mechanicville,79,29
30,Los Angeles,Middletown,79,30
31,Los Angeles,Mount Vernon,79,31
32,Los Angeles,New Rochelle,79,32
33,Los Angeles,New York City,79,33
34,Los Angeles,Newburgh,79,34
35,Los Angeles,Niagara Falls,79,35
36,Los Angeles,North Tonawanda,79,36
37,Los Angeles,Norwich,79,37
38,Los Angeles,Ogdensburg,79,38
39,Los Angeles,Olean,79,39
40,Los Angeles,Oneida,79,40
41,Los Angeles,Oneonta,79,41
42,Los Angeles,Oswego,79,42
43,Los Angeles,Peekskill,79,43
44,Los Angeles,Plattsburgh,79,44
45,Los Angeles,Port Jervis,79,45
46,Los Angeles,Poughkeepsie,79,46
47,Los Angeles,Rensselaer,79,47
48,Los Angeles,Rochester,79,48
49,Los Angeles,Rome,79,49
50,Los Angeles,Rye,79,50
51,Los Angeles,Salamanca,79,51
52,Los Angeles,Saratoga Springs,79,52
53,Los Angeles,Schenectady,79,53
54,Los Angeles,Sherrill,79,54
55,Los Angeles,Syracuse,79,55
56,Los Angeles,Tonawanda,79,56
57,Los Angeles,Troy,79,57
58,Los Angeles,Utica,79,58
59,Los Angeles,Watertown,79,59
60,Los Angeles,Watervliet,79,60
61,Los Angeles,White Plains,79,61
62,Los Angeles,Yonkers,79,62
63,Chicago,Albany,26,1
64,Chicago,Amsterdam,26,2
65,Chicago,Auburn,26,3
66,Chicago,Batavia,26,4
67,Chicago,Beacon,26,5
68,Chicago,Binghamton,26,6
69,Chicago,Buffalo,26,7
70,Chicago,Canandaigua,26,8
71,Chicago,Cohoes,26,9
72,Chicago,Corning,26,10
73,Chicago,Cortland,26,11
74,Chicago,Dunkirk,26,12
75,Chicago,Elmira,26,13
76,Chicago,Fulton,26,14
77,Chicago,Geneva,26,15
78,Chicago,Glen Cove,26,16
79,Chicago,Glens Falls,26,17
80,Chicago,Gloversville,26,18
81,Chicago,Hornell,26,19
82,Chicago,Hudson,26,20
83,Chicago,Ithaca,26,21
84,Chicago,Jamestown,26,22
85,Chicago,Johnstown,26,23
86,Chicago,Kingston,26,24
87,Chicago,Lackawanna,26,25
88,Chicago,Little Falls,26,26
89,Chicago,Lockport,26,27
90,Chicago,Long Beach,26,28
91,Chicago,Mechanicville,26,29
92,Chicago,Middletown,26,30
93,Chicago,Mount Vernon,26,31
94,Chicago,New Rochelle,26,32
95,Chicago,New York City,26,33
96,Chicago,Newburgh,26,34
97,Chicago,Niagara Falls,26,35
98,Chicago,North Tonawanda,26,36
99,Chicago,Norwich,26,37
100,Chicago,Ogdensburg,26,38
101,Chicago,Olean,26,39
102,Chicago,Oneida,26,40
103,Chicago,Oneonta,26,41
104,Chicago,Oswego,26,42
105,Chicago,Peekskill,26,43
106,Chicago,Plattsburgh,26,44
107,Chicago,Port Jervis,26,45
108,Chicago,Poughkeepsie,26,46
109,Chicago,Rensselaer,26,47
110,Chicago,Rochester,26,48
111,Chicago,Rome,26,49
112,Chicago,Rye,26,50
113,Chicago,Salamanca,26,51
114,Chicago,Saratoga Springs,26,52
115,Chicago,Schenectady,26,53
116,Chicago,Sherrill,26,54
117,Chicago,Syracuse,26,55
118,Chicago,Tonawanda,26,56
119,Chicago,Troy,26,57
120,Chicago,Utica,26,58
121,Chicago,Watertown,26,59
122,Chicago,Watervliet,26,60
123,Chicago,White Plains,26,61
124,Chicago,Yonkers,26,62
125,Houston,Albany,51,1
126,Houston,Amsterdam,51,2
127,Houston,Auburn,51,3
128,Houston,Batavia,51,4
129,Houston,Beacon,51,5
130,Houston,Binghamton,51,6
131,Houston,Buffalo,51,7
132,Houston,Canandaigua,51,8
133,Houston,Cohoes,51,9
134,Houston,Corning,51,10
135,Houston,Cortland,51,11
136,Houston,Dunkirk,51,12
137,Houston,Elmira,51,13
138,Houston,Fulton,51,14
139,Houston,Geneva,51,15
140,Houston,Glen Cove,51,16
141,Houston,Glens Falls,51,17
142,Houston,Gloversville,51,18
143,Houston,Hornell,51,19
144,Houston,Hudson,51,20
145,Houston,Ithaca,51,21
146,Houston,Jamestown,51,22
147,Houston,Johnstown,51,23
148,Houston,Kingston,51,24
149,Houston,Lackawanna,51,25
150,Houston,Little Falls,51,26
151,Houston,Lockport,51,27
152,Houston,Long Beach,51,28
153,Houston,Mechanicville,51,29
154,Houston,Middletown,51,30
155,Houston,Mount Vernon,51,31
156,Houston,New Rochelle,51,32
157,Houston,New York City,51,33
158,Houston,Newburgh,51,34
159,Houston,Niagara Falls,51,35
160,Houston,North Tonawanda,51,36
161,Houston,Norwich,51,37
162,Houston,Ogdensburg,51,38
163,Houston,Olean,51,39
164,Houston,Oneida,51,40
165,Houston,Oneonta,51,41
166,Houston,Oswego,51,42
167,Houston,Peekskill,51,43
168,Houston,Plattsburgh,51,44
169,Houston,Port Jervis,51,45
170,Houston,Poughkeepsie,51,46
171,Houston,Rensselaer,51,47
172,Houston,Rochester,51,48
173,Houston,Rome,51,49
174,Houston,Rye,51,50
175,Houston,Salamanca,51,51
176,Houston,Saratoga Springs,51,52
177,Houston,Schenectady,51,53
178,Houston,Sherrill,51,54
179,Houston,Syracuse,51,55
180,Houston,Tonawanda,51,56
181,Houston,Troy,51,57
182,Houston,Utica,51,58
183,Houston,Watertown,51,59
184,Houston,Watervliet,51,60
185,Houston,White Plains,51,61
186,Houston,Yonkers,51,62
187,Phoenix,Albany,67,1
188,Phoenix,Amsterdam,67,2
189,Phoenix,Auburn,67,3
190,Phoenix,Batavia,67,4
191,Phoenix,Beacon,67,5
192,Phoenix,Binghamton,67,6
193,Phoenix,Buffalo,67,7
194,Phoenix,Canandaigua,67,8
195,Phoenix,Cohoes,67,9
196,Phoenix,Corning,67,10
197,Phoenix,Cortland,67,11
198,Phoenix,Dunkirk,67,12
199,Phoenix,Elmira,67,13
200,Phoenix,Fulton,67,14
201,Phoenix,Geneva,67,15
202,Phoenix,Glen Cove,67,16
203,Phoenix,Glens Falls,67,17
204,Phoenix,Gloversville,67,18
205,Phoenix,Hornell,67,19
206,Phoenix,Hudson,67,20
207,Phoenix,Ithaca,67,21
208,Phoenix,Jamestown,67,22
209,Phoenix,Johnstown,67,23
210,Phoenix,Kingston,67,24
211,Phoenix,Lackawanna,67,25
212,Phoenix,Little Falls,67,26
213,Phoenix,Lockport,67,27
214,Phoenix,Long Beach,67,28
215,Phoenix,Mechanicville,67,29
216,Phoenix,Middletown,67,30
217,Phoenix,Mount Vernon,67,31
218,Phoenix,New Rochelle,67,32
219,Phoenix,New York City,67,33
220,Phoenix,Newburgh,67,34
221,Phoenix,Niagara Falls,67,35
222,Phoenix,North Tonawanda,67,36
223,Phoenix,Norwich,67,37
224,Phoenix,Ogdensburg,67,38
225,Phoenix,Olean,67,39
226,Phoenix,Oneida,67,40
227,Phoenix,Oneonta,67,41
228,Phoenix,Oswego,67,42
229,Phoenix,Peekskill,67,43
230,Phoenix,Plattsburgh,67,44
231,Phoenix,Port Jervis,67,45
232,Phoenix,Poughkeepsie,67,46
233,Phoenix,Rensselaer,67,47
234,Phoenix,Rochester,67,48
235,Phoenix,Rome,67,49
236,Phoenix,Rye,67,50
237,Phoenix,Salamanca,67,51
238,Phoenix,Saratoga Springs,67,52
239,Phoenix,Schenectady,67,53
240,Phoenix,Sherrill,67,54
241,Phoenix,Syracuse,67,55
242,Phoenix,Tonawanda,67,56
243,Phoenix,Troy,67,57
244,Phoenix,Utica,67,58
245,Phoenix,Watertown,67,59
246,Phoenix,Watervliet,67,60
247,Phoenix,White Plains,67,61
248,Phoenix,Yonkers,67,62
249,San Antonio,Albany,51,1
250,San Antonio,Amsterdam,51,2
251,San Antonio,Auburn,51,3
252,San Antonio,Batavia,51,4
253,San Antonio,Beacon,51,5
254,San Antonio,Binghamton,51,6
255,San Antonio,Buffalo,51,7
256,San Antonio,Canandaigua,51,8
257,San Antonio,Cohoes,51,9
258,San Antonio,Corning,51,10
259,San Antonio,Cortland,51,11
260,San Antonio,Dunkirk,51,12
261,San Antonio,Elmira,51,13
262,San Antonio,Fulton,51,14
263,San Antonio,Geneva,51,15
264,San Antonio,Glen Cove,51,16
265,San Antonio,Glens Falls,51,17
266,San Antonio,Gloversville,51,18
267,San Antonio,Hornell,51,19
268,San Antonio,Hudson,51,20
269,San Antonio,Ithaca,51,21
270,San Antonio,Jamestown,51,22
271,San Antonio,Johnstown,51,23
272,San Antonio,Kingston,51,24
273,San Antonio,Lackawanna,51,25
274,San Antonio,Little Falls,51,26
275,San Antonio,Lockport,51,27
276,San Antonio,Long Beach,51,28
277,San Antonio,Mechanicville,51,29
278,San Antonio,Middletown,51,30
279,San Antonio,Mount Vernon,51,31
280,San Antonio,New Rochelle,51,32
281,San Antonio,New York City,51,33
282,San Antonio,Newburgh,51,34
283,San Antonio,Niagara Falls,51,35
284,San Antonio,North Tonawanda,51,36
285,San Antonio,Norwich,51,37
286,San Antonio,Ogdensburg,51,38
287,San Antonio,Olean,51,39
288,San Antonio,Oneida,51,40
289,San Antonio,Oneonta,51,41
290,San Antonio,Oswego,51,42
291,San Antonio,Peekskill,51,43
292,San Antonio,Plattsburgh,51,44
293,San Antonio,Port Jervis,51,45
294,San Antonio,Poughkeepsie,51,46
295,San Antonio,Rensselaer,51,47
296,San Antonio,Rochester,51,48
297,San Antonio,Rome,51,49
298,San Antonio,Rye,51,50
299,San Antonio,Salamanca,51,51
300,San Antonio,Saratoga Springs,51,52
301,San Antonio,Schenectady,51,53
302,San Antonio,Sherrill,51,54
303,San Antonio,Syracuse,51,55
304,San Antonio,Tonawanda,51,56
305,San Antonio,Troy,51,57
306,San Antonio,Utica,51,58
307,San Antonio,Watertown,51,59
308,San Antonio,Watervliet,51,60
309,San Antonio,White Plains,51,61
310,San Antonio,Yonkers,51,62
311,San Diego,Albany,79,1
312,San Diego,Amsterdam,79,2
313,San Diego,Auburn,79,3
314,San Diego,Batavia,79,4
315,San Diego,Beacon,79,5
316,San Diego,Binghamton,79,6
317,San Diego,Buffalo,79,7
318,San Diego,Canandaigua,79,8
319,San Diego,Cohoes,79,9
320,San Diego,Corning,79,10
321,San Diego,Cortland,79,11
322,San Diego,Dunkirk,79,12
323,San Diego,Elmira,79,13
324,San Diego,Fulton,79,14
325,San Diego,Geneva,79,15
326,San Diego,Glen Cove,79,16
327,San Diego,Glens Falls,79,17
328,San Diego,Gloversville,79,18
329,San Diego,Hornell,79,19
330,San Diego,Hudson,79,20
331,San Diego,Ithaca,79,21
332,San Diego,Jamestown,79,22
333,San Diego,Johnstown,79,23
334,San Diego,Kingston,79,24
335,San Diego,Lackawanna,79,25
336,San Diego,Little Falls,79,26
337,San Diego,Lockport,79,27
338,San Diego,Long Beach,79,28
339,San Diego,Mechanicville,79,29
340,San Diego,Middletown,79,30
341,San Diego,Mount Vernon,79,31
342,San Diego,New Rochelle,79,32
343,San Diego,New York City,79,33
344,San Diego,Newburgh,79,34
345,San Diego,Niagara Falls,79,35
346,San Diego,North Tonawanda,79,36
347,San Diego,Norwich,79,37
348,San Diego,Ogdensburg,79,38
349,San Diego,Olean,79,39
350,San Diego,Oneida,79,40
351,San Diego,Oneonta,79,41
352,San Diego,Oswego,79,42
353,San Diego,Peekskill,79,43
354,San Diego,Plattsburgh,79,44
355,San Diego,Port Jervis,79,45
356,San Diego,Poughkeepsie,79,46
357,San Diego,Rensselaer,79,47
358,San Diego,Rochester,79,48
359,San Diego,Rome,79,49
360,San Diego,Rye,79,50
361,San Diego,Salamanca,79,51
362,San Diego,Saratoga Springs,79,52
363,San Diego,Schenectady,79,53
364,San Diego,Sherrill,79,54
365,San Diego,Syracuse,79,55
366,San Diego,Tonawanda,79,56
367,San Diego,Troy,79,57
368,San Diego,Utica,79,58
369,San Diego,Watertown,79,59
370,San Diego,Watervliet,79,60
371,San Diego,White Plains,79,61
372,San Diego,Yonkers,79,62
373,Dallas,Albany,51,1
374,Dallas,Amsterdam,51,2
375,Dallas,Auburn,51,3
376,Dallas,Batavia,51,4
377,Dallas,Beacon,51,5
378,Dallas,Binghamton,51,6
379,Dallas,Buffalo,51,7
380,Dallas,Canandaigua,51,8
381,Dallas,Cohoes,51,9
382,Dallas,Corning,51,10
383,Dallas,Cortland,51,11
384,Dallas,Dunkirk,51,12
385,Dallas,Elmira,51,13
386,Dallas,Fulton,51,14
387,Dallas,Geneva,51,15
388,Dallas,Glen Cove,51,16
389,Dallas,Glens Falls,51,17
390,Dallas,Gloversville,51,18
391,Dallas,Hornell,51,19
392,Dallas,Hudson,51,20
393,Dallas,Ithaca,51,21
394,Dallas,Jamestown,51,22
395,Dallas,Johnstown,51,23
396,Dallas,Kingston,51,24
397,Dallas,Lackawanna,51,25
398,Dallas,Little Falls,51,26
399,Dallas,Lockport,51,27
400,Dallas,Long Beach,51,28
401,Dallas,Mechanicville,51,29
402,Dallas,Middletown,51,30
403,Dallas,Mount Vernon,51,31
404,Dallas,New Rochelle,51,32
405,Dallas,New York City,51,33
406,Dallas,Newburgh,51,34
407,Dallas,Niagara Falls,51,35
408,Dallas,North Tonawanda,51,36
409,Dallas,Norwich,51,37
410,Dallas,Ogdensburg,51,38
411,Dallas,Olean,51,39
412,Dallas,Oneida,51,40
413,Dallas,Oneonta,51,41
414,Dallas,Oswego,51,42
415,Dallas,Peekskill,51,43
416,Dallas,Plattsburgh,51,44
417,Dallas,Port Jervis,51,45
418,Dallas,Poughkeepsie,51,46
419,Dallas,Rensselaer,51,47
420,Dallas,Rochester,51,48
421,Dallas,Rome,51,49
422,Dallas,Rye,51,50
423,Dallas,Salamanca,51,51
424,Dallas,Saratoga Springs,51,52
425,Dallas,Schenectady,51,53
426,Dallas,Sherrill,51,54
427,Dallas,Syracuse,51,55
428,Dallas,Tonawanda,51,56
429,Dallas,Troy,51,57
430,Dallas,Utica,51,58
431,Dallas,Watertown,51,59
432,Dallas,Watervliet,51,60
433,Dallas,White Plains,51,61
434,Dallas,Yonkers,51,62
435,Austin,Albany,51,1
436,Austin,Amsterdam,51,2
437,Austin,Auburn,51,3
438,Austin,Batavia,51,4
439,Austin,Beacon,51,5
440,Austin,Binghamton,51,6
441,Austin,Buffalo,51,7
442,Austin,Canandaigua,51,8
443,Austin,Cohoes,51,9
444,Austin,Corning,51,10
445,Austin,Cortland,51,11
446,Austin,Dunkirk,51,12
447,Austin,Elmira,51,13
448,Austin,Fulton,51,14
449,Austin,Geneva,51,15
450,Austin,Glen Cove,51,16
451,Austin,Glens Falls,51,17
452,Austin,Gloversville,51,18
453,Austin,Hornell,51,19
454,Austin,Hudson,51,20
455,Austin,Ithaca,51,21
456,Austin,Jamestown,51,22
457,Austin,Johnstown,51,23
458,Austin,Kingston,51,24
459,Austin,Lackawanna,51,25
460,Austin,Little Falls,51,26
461,Austin,Lockport,51,27
462,Austin,Long Beach,51,28
463,Austin,Mechanicville,51,29
464,Austin,Middletown,51,30
465,Austin,Mount Vernon,51,31
466,Austin,New Rochelle,51,32
467,Austin,New York City,51,33
468,Austin,Newburgh,51,34
469,Austin,Niagara Falls,51,35
470,Austin,North Tonawanda,51,36
471,Austin,Norwich,51,37
472,Austin,Ogdensburg,51,38
473,Austin,Olean,51,39
