Rank,Name,State,2022 Pop.,2010 Census,Change,Density (mi²),Area (mi²)
1,New York City,New York,"8,177,025","8,190,209",-0.16%,"27,222",300.38
2,Los Angeles,California,"3,985,516","3,795,512",5.01%,"8,499",468.96
3,Chicago,Illinois,"2,671,635","2,697,477",-0.96%,"11,750",227.37
4,Houston,Texas,"2,325,353","2,100,280",10.72%,"3,632",640.19
5,Phoenix,Arizona,"1,759,943","1,449,038",21.46%,"3,400",517.67
6,San Antonio,Texas,"1,598,964","1,332,299",20.02%,"3,296",485.11
7,Philadelphia,Pennsylvania,"1,585,480","1,528,283",3.74%,"11,807",134.28
8,San Diego,California,"1,429,653","1,305,906",9.48%,"4,387",325.88
9,Dallas,Texas,"1,348,886","1,200,350",12.37%,"3,970",339.74
10,Austin,Texas,"1,028,225","806,164",27.55%,"3,214",319.94
11,San Jose,California,"1,003,120","954,940",5.05%,"5,642",177.81
12,Fort Worth,Texas,"958,692","748,441",28.09%,"2,774",345.58
13,Jacksonville,Florida,"938,717","823,114",14.04%,"1,256",747.47
14,Charlotte,North Carolina,"925,290","738,444",25.30%,"3,012",307.24
15,Columbus,Ohio,"921,605","790,943",16.52%,"4,204",219.20
16,Indianapolis,Indiana,"892,656","821,579",8.65%,"2,469",361.57
17,San Francisco,California,"884,108","805,505",9.76%,"18,850",46.90
18,Seattle,Washington,"787,995","610,630",29.05%,"9,396",83.86
19,Denver,Colorado,"760,049","603,359",25.97%,"4,958",153.29
20,Washington,District of Columbia,"718,355","605,226",18.69%,"11,750",61.14
21,Boston,Massachusetts,"696,959","621,048",12.22%,"14,418",48.34
22,El Paso,Texas,"687,287","650,671",5.63%,"2,670",257.42
23,Nashville,Tennessee,"682,262","604,589",12.85%,"1,435",475.54
24,Oklahoma City,Oklahoma,"676,492","582,516",16.13%,"1,116",606.45
25,Las Vegas,Nevada,"675,592","584,576",15.57%,"4,766",141.77
26,Portland,Oregon,"666,453","585,429",13.84%,"4,995",133.42
27,Detroit,Michigan,"661,193","711,131",-7.02%,"4,767",138.72
28,Memphis,Tennessee,"650,980","652,326",-0.21%,"2,051",317.36
29,Louisville,Kentucky,"615,067","596,482",3.12%,"2,335",263.43
30,Milwaukee,Wisconsin,"586,503","594,865",-1.41%,"6,098",96.18
31,Baltimore,Maryland,"566,631","620,915",-8.74%,"7,000",80.95
32,Albuquerque,New Mexico,"563,165","546,755",3.00%,"3,008",187.22
33,Tucson,Arizona,"557,718","527,160",5.80%,"2,343",238.01
34,Mesa,Arizona,"548,213","440,993",24.31%,"3,970",138.09
35,Fresno,California,"539,862","497,769",8.46%,"4,706",114.72
36,Atlanta,Georgia,"532,695","429,410",24.05%,"3,924",135.74
37,Sacramento,California,"531,285","467,286",13.70%,"5,436",97.73
38,Kansas City,Missouri,"505,272","460,697",9.68%,"1,605",314.89
39,Colorado Springs,Colorado,"495,183","420,685",17.71%,"2,539",195
40,Raleigh,North Carolina,"488,334","406,353",20.17%,"3,347",145.89
41,Miami,Florida,"483,395","400,779",20.61%,"13,429",36.00
42,Omaha,Nebraska,"480,871","459,659",4.61%,"3,411",140.98
